Jugador                      ,País    ,Posc    ,Equipo      ,Edad    ,Nacimiento ,PJ ,Titular ,Mín    ,90 s ,Gls. ,Gls. ,Ass ,TP ,TA ,TR
Rogelio Cortéz Pineda        ,mx MEX  ,"DL,CC" ,Necaxa      ,20-141  ,2004       , 7 ,      0 , 171.0 , 1.9 , 1.0 ,0.53 ,0.0 , 0 , 0 , 0
Jordi Cortizo                ,mx MEX  ,"CC,DL" ,Monterrey   ,28-148  ,1996       ,13 ,      7 , 583.0 , 6.5 , 2.0 ,0.31 ,1.0 , 0 , 2 , 0
Rodolfo Cota                 ,mx MEX  ,PO      ,América     ,37-145  ,1987       , 1 ,      1 ,  90.0 , 1.0 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
Cade Cowell                  ,us USA  ,"CC,DL" ,Guadalajara ,21-042  ,2003       ,12 ,     10 , 831.0 , 9.2 , 5.0 ,0.54 ,2.0 , 0 , 0 , 0
Aldo Cruz                    ,mx MEX  ,DF      ,Atlético    ,27-062  ,1997       ,14 ,     13 ,1147.0 ,12.7 , 0.0 ,0.00 ,0.0 , 0 , 1 , 0
Jürgen Damm                  ,mx MEX  ,DF      ,Atlético    ,32-018  ,1992       , 1 ,      0 ,  25.0 , 0.3 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
José David Ramírez           ,mx MEX  ,CC      ,León        ,28-347  ,1995       ,11 ,      6 , 607.0 , 6.7 , 0.0 ,0.00 ,1.0 , 0 , 1 , 0
Víctor Dávila                ,cl CHI  ,"DL,CC" ,América     ,27-021  ,1997       , 6 ,      3 , 250.0 , 2.8 , 1.0 ,0.36 ,0.0 , 0 , 0 , 0
Diego De Buen                ,mx MEX  ,CC      ,Puebla      ,33-145  ,1991       ,17 ,     17 ,1427.0 ,15.9 , 1.0 ,0.06 ,0.0 , 0 , 2 , 0
Sergio De los Ríos           ,mx MEX  ,"CC,DF" ,Pachuca     ,21-150  ,2003       , 5 ,      0 , 108.0 , 1.2 , 0.0 ,0.00 ,0.0 , 0 , 0 , 0
